version,shape,records,nodes,round,action,modelMs,visibleMs,layoutMs,totalMs
before,deep,1000,1111,1,cold,49.72495699999854,1.5560899999982212,2422.86617400001,2474.1472210000065
before,deep,1000,1111,1,rebuild,15.724598000000697,1.638957000002847,2225.152126999994,2242.5156819999975
before,deep,1000,1111,1,switch-back,47.169160999997985,1.2160680000088178,2247.6201589999982,2296.005388000005
working,deep,1000,1111,1,cold,50.95428200000606,1.430555999992066,1625.065186000007,1677.4500240000052
working,deep,1000,1111,1,rebuild,14.24311399999715,1.3364739999960875,8.29144699999597,23.871034999989206
working,deep,1000,1111,1,switch-back,47.84533699999156,1.4157210000121268,8.283418999999412,57.5444770000031
ad66e4a,deep,1000,1111,2,cold,45.7624489999871,1.3405510000011418,42.92252700000245,90.02552699999069
ad66e4a,deep,1000,1111,2,rebuild,11.605383999994956,1.2271310000069207,32.858402999991085,45.69091799999296
ad66e4a,deep,1000,1111,2,switch-back,48.29527699999744,1.2553199999965727,44.10908500000369,93.6596819999977
before,deep,1000,1111,2,cold,56.60722799999348,1.4977440000075148,2270.1033150000003,2328.2082870000013
before,deep,1000,1111,2,rebuild,14.443553999997675,1.3804430000018328,2075.007282999999,2090.8312799999985
before,deep,1000,1111,2,switch-back,47.539652000006754,1.3194799999910174,2300.737313999998,2349.596445999996
working,deep,1000,1111,2,cold,50.340360000001965,1.2181950000085635,1425.013196999993,1476.5717520000035
working,deep,1000,1111,2,rebuild,12.875522000002093,1.2174249999952735,8.460774000006495,22.55372100000386
working,deep,1000,1111,2,switch-back,47.89685999999347,1.2433320000127424,8.062861999991583,57.20305399999779
